pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain_count,exempted_domains,reference_route_count,exempted_route_count,missing_route_count,top_missing_routes,app_daily_spend_exempted,exempted_route_network_daily,missing_route_network_daily,reference_route_network_daily,penetration_rate,est_uplift_missed_daily
LLC East-Games,62ea666c62b76e001b3eca4f,EMEA,Kseniia Fesenko,Tanks Blitz,62f1051ffaf12b2a7ad9a1d1,com.tanksblitz,739.3919,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,PiggyKingdom,65802019356fbd1f45ff6c6f,com.olleyo.piggy.king.free,732.502,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku - Classic Sudoku Puzzle Game,592fc29cc10833a4760012c6,1193508329,13380.144,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,BVC iOS,5bc876d889418b305edae87a,1342112505,821.4685,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Gametion,561e8d956b8d90f61a0026fb,Americas,Rutvij Jadav,Ludo King,57bfce9a3ce6f97623000025,com.ludo.king,802.8256,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master GP,661556bb5b2dea6d39bb0063,com.easybrain.crossword.puzzles,8061.9121,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews for docomo,69680f5935536525d31e36b2,com.nttdocomo.android.mymagazine,802.949,5,"casino.draftkings.com,draftkings.com,kalshi.com,sportsbook.draftkings.com,wsj.com",10,7,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,48572.9747,5303.1019,53876.0766,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle iOS PM_1945,661898f2c0c070078a977fb4,6482849843,6385.6497,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite Android,6295ff7c3987b19e74b43c3e,com.robtopx.geometryjumplite,2971.0927,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Particle Media Inc,69379d46192ce0aadaecc874,Americas,Natalie Kenyon,NewsBreak: Local News & Alerts,69437e3201d2a42bf6087b94,1132762804,17572.2189,1,kalshi.com,1,0,1,kalshi.com|5f6413c9612b1a0015099993|US,0.0,0.0,10257.2673,10257.2673,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,VitaSolitaire Android,6482e3ce2f5f1f435620fdaa,com.vitastudio.solitaire,512.6829,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire Spider GP,5ebc16f75ebede000128445b,com.easybrain.spider.solitaire,513.6172,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
Ketchapp,561e8d956b8d90f61a0030cf,EMEA,Hadil Salameh,Rider,590b5df4004ccfdd3b000a35,1229618961,517.3778,2,"casino.draftkings.com,draftkings.com",8,4,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,33145.3165,6924.2864,40069.6029,0.0,0.0
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted Android,671654af58450cca797bb25d,fr.vinted,4170.9759,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,PBN iOS,5bc942ec163100307b07c0bf,1420058690,559.0325,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Blockudoku IOS,5c9c7a04d13ede0012e22ff2,1452227871,4177.5385,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Crossword Master IOS,66b372f5e33c9a548741ff37,6547858927,4410.9121,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite,6276cb2872361e0c07c98cec,698255242,3471.3525,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Tile Match - Match Puzzle Game,63b7bf0fa928816f6c42effc,com.tile.match.blockpuzzle,3248.3204,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,PlaySimple Cryptogram,66e16cd7d7770a6a369725c3,in.playsimple.cryptogram,614.3112,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,VitaSolitaire iOS,6482e37be6783160ceb11570,6446669987,615.8786,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Dots,561e8d976b8d90f61a004735,EMEA,Louis Wallworth,Twdots Android,5b7c63748734f02f83929e90,com.weplaydots.twodotsandroid,635.4355,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
LY Corporation,5efeed113191d60018f0f4e0,APAC,Ives Cui,LINE：ディズニーツムツム,623a937c155ef61249701f2b,com.linecorp.LGTMTM,3314.6047,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Jigsaw Puzzles Android,5cb99eb2e520d93f2a43c588,com.easybrain.jigsaw.puzzles,3278.9761,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku iOS,69e0a6fab6a93be17be970f3,6761760135,15211.7956,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,4 Pics 1 Word Android,515aff900964d0f21f00000e,de.lotum.whatsinthefoto.us,850.5224,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Puzzle1Studio,5d130cdf37472100170775e1,APAC,Ives Cui,Bubble Pop Origin! Puzzle Game,5de4583d2510a20017316fb9,1487907763,679.9213,2,"casino.draftkings.com,draftkings.com",8,4,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,33145.3165,6924.2864,40069.6029,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Sums IOS,64de05bdabb23eee2a179c21,6449427809,917.2234,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
X-FLOW LTD,5b1526a7de961d3317b1d475,EMEA,Kseniia Fesenko,Happy Color Android - Paint by Number,5a777f42d76bfe102f007091,com.pixel.art.coloring.color.number,7674.6411,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Tile Match - Match Puzzle Game,63ff39ab1e40c644de13073f,6444056676,1595.8747,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Meowdoku And,69e0a7d4b6a93be17be97116,com.oakever.meowdoku,6974.7269,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsaw iOS,622b3099f2283d7a001c007c,1589762792,1491.7453,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Crossword Jam,5c505bc01d8afc08c9a4e14e,in.playsimple.tripcross,1484.1206,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,12,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,0.0,49390.8285,694.0674,50084.8959,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Sudoku Killer iOS,5e84a5d1ce415a000187164f,1505735640,1530.1728,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
Supercell,561e8d936b8d90f61a000ade,EMEA,Hadil Salameh,Hay Day Android,52a764b09fd76a3932000008,com.supercell.hayday,5227.1361,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Phase 10 Android,5d81cc3fe412d000189dc34b,com.mattel163.phase10,1583.0986,38,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,kalshi.com,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top",32,10,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,50633.0179,36565.3976,87198.4155,0.0,0.0
FotMob AS,66e0182c82571e00117d2acb,EMEA,Louis Wallworth,FotMob iOS,66e0363553834547abf558a2,488575683,1584.5514,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,bet.batery.in.twa-twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,11,23,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43131.8296,37259.465,80391.2946,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art: Create by Number,5b61c1d3a5eacf3ee67a792c,com.europosit.pixelcoloring,2173.309,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words IOS,66db113537f8220673f9e833,6612024746,1458.7926,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Tile Match -Triple puzzle game,64ee188a4ca99f72ba7c5d70,in.playsimple.triple.tile.matchgame.pair.three.puzzle.object.royale,1639.763,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,ZenWord iOS,641bbdc51e0260737618e232,1660171117,6353.112,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Pixel Art - Color by Number,5a167dd1d0d008d90400a61d,1274972321,1640.7307,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
